,title,price,link_item,index,discount,sales
2,Son Dưỡng Lì Có Màu YNM Candy Pop Glow Melting Balm Coral Moment 3g/ Đỏ Hồng,250.000₫,https://tiki.vn/son-duong-li-co-mau-ynm-candy-pop-glow-melting-balm-coral-moment-3g-do-hong-p248542369.html?spid=248542370,3,-7%,Đã bán 2
3,Son dưỡng môi Cenota Lip Gloss Balm Dưỡng Ẩm Làm Hồng Môi,89.000₫,https://tiki.vn/son-duong-moi-cenota-lip-gloss-balm-duong-am-lam-hong-moi-p74883265.html?spid=74883266,4,-5%,Đã bán 13
4,,,https://tiki.vn/phan-ma-hong-city-color-blush-duo-26g-p271663243.html?spid=271663244,5,,
5,CHÌ KẺ MÀY NGANG VACCI - VACCI AUTO EYEBROW PENCIL,158.000₫,https://tiki.vn/chi-ke-may-ngang-vacci-vacci-auto-eyebrow-pencil-p76197309.html?spid=76197317,6,-61%,Đã bán 5
6,Bộ cọ TRANG ĐIỂM mini 5 MÓN kèm gương,43.998₫,https://tiki.vn/bo-co-trang-diem-mini-5-mon-kem-guong-p217323003.html?spid=225967252,7,-29%,
7,Son Xinh Đông Anh Chính Hãng Son Kem Lì Không Trôi Set 3 Màu Đỏ Tươi - Cam Đất - Đỏ Cam Collagen x3,249.000₫,https://tiki.vn/son-moi-my-pham-dong-anh-chinh-hang-son-kem-li-khong-troi-set-3-mau-do-tuoi-cam-dat-do-cam-p272431581.html?spid=272431582,8,-5%,
8,KEM LÓT TRANG ĐIỂM KIỀM DẦU VACOSI NATURAL STUDIO OIL-FREE BASE,323.950₫,https://tiki.vn/kem-lot-trang-diem-kiem-dau-vacosi-natural-studio-oil-free-base-01-clear-p123202125.html?spid=140523964,9,-50%,Đã bán 19
9,,,https://tiki.vn/ke-moi-absolute-newyork-perfect-wear-lip-liner-spiced-rose-abpw04-5g-p7101619.html?spid=7181015,10,,
10,Gương trang điểm để bàn phong cách Pháp sang trọng điều chỉnh được tư thế (tặng tấm dán trang trí móng nail),139.000₫,https://tiki.vn/guong-trang-diem-de-ban-phong-cach-phap-sang-trong-dieu-chinh-duoc-tu-the-tang-tam-dan-trang-tri-mong-nail-p52248868.html?spid=52248869,11,-19%,Đã bán 25
11,GƯƠNG TRANG ĐIỂM 2 MẶT LÚA MẠCH - XOAY 360 ĐỘ - JL,43.900₫,https://tiki.vn/guong-trang-diem-2-mat-lua-mach-xoay-360-do-jl-p195127515.html?spid=195127516,12,-36%,
12,,,https://tiki.vn/mieng-dan-kich-mi-2-mat-luoi-kem-keo-dinh-100-mi-mau-xanh-p38602059.html?spid=64486685,13,-5%,
13,Nước pha Mascara không vón cục Mira Aroma Hàn Quốc 20ml tặng kèm móc khoá,65.000₫,https://tiki.vn/nuoc-pha-mascara-khong-von-cuc-mira-aroma-han-quoc-20ml-tang-kem-moc-khoa-p25068550.html?spid=25068551,14,-37%,Đã bán 108
14,Sữa rửa mặt trẻ em Poro Foam Cleanser Hàn Quốc 120g,175.000₫,https://tiki.vn/sua-rua-mat-tre-em-poro-foam-cleanser-han-quoc-120g-p204318323.html?spid=204318327,15,,Đã bán 4
15,Bộ Combo Mỹ Phẩm Makeup Trang Điểm Lucky Bag Daisy Doll Nhật Bản(Bộ 5 Sản Phẩm),1.799.000₫,https://tiki.vn/bo-makeup-da-nang-gom-ke-may-3in1-phan-mat-2-mau-dang-thoi-kem-lot-bat-sang-daisy-doll-nhat-ban-p259489439.html?spid=259489440,16,,
16,Phấn nước Lemonade Supermatte Cushion 14g,339.000₫,https://tiki.vn/phan-nuoc-lemonade-supermatte-cushion-14g-p184487954.html?spid=184487969,17,,
17,,,https://tiki.vn/guong-trang-diem-guong-de-ban-trang-diem-de-ban-lua-mach-2-mat-guong-xoay-360-do-hang-cao-cap-p136874056.html?spid=253234305,18,,
18,Gương Trang Điểm Mini 2 Mặt Phẳng Để Bàn – Một Mặt Có Thể Phóng To Gấp 3 Lần,24.999₫,https://tiki.vn/guong-trang-diem-mini-2-mat-phang-de-ban-mot-mat-co-the-phong-to-gap-3-lan-p20834379.html?spid=206845725,19,,
19,"Dưỡng mi DHC Eyelash Tonic hỗ trợ kích thích mọc mi, làm dày, dài và chắc khỏe lông mi - chiết xuất 100% từ thiên nhiên - Massel Official",267.000₫,https://tiki.vn/tinh-chat-duong-mi-dhc-eyelash-tonic-6-5ml-p271306372.html?spid=75765261,20,,Đã bán 166
20,Bộ phấn nước che khuyết điểm mịn da O HUI Ultimate Cover Cushion Satin Finish set,858.000₫,https://tiki.vn/bo-phan-nuoc-che-khuyet-diem-o-hui-ultimate-cover-cushion-satin-finish-set-p128504250.html?spid=128504252,21,,
21,Combo 2 Bộ dao cạo tỉa lông mày kèm 2 lưỡi tiện lợi,6.000₫,https://tiki.vn/combo-2-bo-dao-cao-tia-long-may-kem-2-luoi-tien-loi-p48054936.html?spid=148072057,22,,Đã bán 3
22,Cọ nhấn đuôi mắt - E09-Y24,57.000₫,https://tiki.vn/co-nhan-duoi-mat-e09-y24-p273407151.html?spid=273407152,23,,
23,Bộ 5 cọ trang điểm,45.000₫,https://tiki.vn/bo-5-co-trang-diem-p77718454.html?spid=77718455,24,,
24,"Cốm rắc nhiều màu trang trí ốp điện thoại, gương, cặp tóc (Túi loại 3gram)",7.000₫,https://tiki.vn/com-rac-nhieu-mau-trang-tri-op-dien-thoai-guong-cap-toc-tui-loai-3gram-p206117988.html?spid=206118000,25,,
