,title,price,link_item,index,discount,sales
14,Quà 8 3 Set MÊ XÀ BÔNG COMBO 5 Xà bông Sinh Dược Quà sinh nhật tặng bạn gái Quà tặng bạn trai,185.000₫,https://tiki.vn/qua-tang-ecobuff-giftset-me-xa-bong-combo-5-xa-bong-sinh-duoc-xa-bong-tam-thao-moc-chiet-xuat-thien-nhien-lanh-tinh-p179754839.html?spid=253306685,15,,Đã bán 1
15,Kem dưỡng thể giúp làm mềm và dưỡng ẩm dành cho da khô và da cơ địa SVR TOPIALYSE Baume Protect+ 200ml,610.000₫,https://tiki.vn/kem-duong-the-giup-lam-mem-va-duong-am-danh-cho-da-kho-va-da-co-dia-svr-topialyse-baume-protect-200ml-p191695483.html?spid=191695484,16,,
16,"Xà bông Sinh Dược Herbal soap cao tắm thảo dược, xà bông cục handmade 100gr, mẫu bao bì vẽ mộc, mùi tinh dầu đặc trưng của Sinh Dược, làm sạch hiệu quả với da dị ứng và mẫn ngứa.",35.500₫,https://tiki.vn/xa-bong-sinh-duoc-herbal-soap-cao-tam-thao-duoc-xa-bong-cuc-handmade-100gr-mau-bao-bi-ve-moc-mui-tinh-dau-dac-trung-cua-sinh-duoc-lam-sach-hieu-qua-voi-da-di-ung-va-man-ngua-p81988311.html?spid=100160928,17,,Đã bán 24
17,,,https://tiki.vn/tinh-chat-chong-nang-duong-the-nivea-duong-am-vuot-troi-spf50-pa-180ml-86090-p164428821.html?spid=164428822,18,,
18,Tẩy Tế Bào Chết Muối Hồng Himalaya Crystal Beauty Himalaya Salt Body Scrub,399.000₫,https://tiki.vn/tay-te-bao-chet-muoi-hong-himalaya-crystal-beauty-himalaya-salt-body-scrub-p204635011.html?spid=204635012,19,,
19,Nước rửa tay hand wash Hoa Hồng Vedette 400ml,40.050₫,https://tiki.vn/nuoc-rua-tay-hand-wash-vedette-400ml-p54149428.html?spid=54149430,20,,Đã bán 252
20,"Kem Tẩy Lông Bikini Cléo 50g, an toàn hiệu quả trong 8 phút, không đau rát",170.000₫,https://tiki.vn/kem-tay-long-bikini-cleo-50g-an-toan-hieu-qua-trong-8-phut-khong-dau-rat-p187609411.html?spid=187609412,21,,Đã bán 30
21,Gel Dưỡng Da 7 Trong 1 - Chiết Xuất Rau Má Deve Cica Conditioning ( 300g ),119.000₫,https://tiki.vn/gel-duong-da-deve-7-trong-1-chiet-xuat-rau-ma-300g-p204444991.html?spid=204444992,22,,
22,Tẩy da chết toàn thân Soap and Glory Flake Away Body Polish Scrub,399.000₫,https://tiki.vn/tay-da-chet-toan-than-soap-and-glory-flake-away-body-polish-scrub-p37486720.html?spid=37486722,23,,Đã bán 26
23,Sữa tắm trắng YUKINA White Body nội địa Nhật Bản nâng tông da trong 14 ngày,437.000₫,https://tiki.vn/sua-tam-trang-yukina-white-body-noi-dia-nhat-ban-nang-tong-da-trong-14-ngay-p79117046.html?spid=79117047,24,,Đã bán 54
24,Sữa Tắm Thảo Dược Đông Y Whoo Spa Oil Shower 220ml,645.000₫,https://tiki.vn/sua-tam-thao-duoc-dong-y-whoo-spa-oil-shower-220ml-p54476800.html?spid=54476801,25,,Đã bán 17
25,,,https://tiki.vn/kem-tri-ngua-bepanthen-itch-relief-cream-20g-p176812031.html?spid=176812032,26,,
